epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
19,678.738,1.06611,1.10196,1.18272,0.87004,0.88729,0.95194,0.69698,1.02491,1.08635,1.18033,0.0008218,0.0008218,0.0008218
20,713.973,1.07528,1.03538,1.18033,0.88495,0.93716,0.9529,0.6809,1.00115,0.96491,1.15478,0.0008119,0.0008119,0.0008119
21,749.232,1.07032,1.01962,1.17872,0.92229,0.94567,0.96454,0.69902,0.96298,0.89802,1.13923,0.000802,0.000802,0.000802
22,784.981,1.08802,1.0411,1.17395,0.94363,0.92547,0.97154,0.71392,0.97995,0.96717,1.13458,0.0007921,0.0007921,0.0007921
23,820.94,1.08799,1.00906,1.2115,0.92529,0.95203,0.97076,0.72315,0.9427,0.88322,1.11476,0.0007822,0.0007822,0.0007822
24,856.675,1.07426,1.03965,1.19031,0.90053,0.95603,0.97088,0.67538,1.06073,0.94716,1.15436,0.0007723,0.0007723,0.0007723
25,892.51,1.08683,1.04787,1.19555,0.88139,0.95194,0.96808,0.70117,0.98707,0.8955,1.1569,0.0007624,0.0007624,0.0007624
26,928.862,1.08134,1.01422,1.19855,0.87689,0.94781,0.95372,0.69797,0.94483,0.96368,1.14202,0.0007525,0.0007525,0.0007525
27,964.446,1.04862,0.99414,1.17152,0.91225,0.9619,0.9747,0.72597,0.90771,0.8414,1.09166,0.0007426,0.0007426,0.0007426
28,1000.25,0.99586,0.89573,1.13512,0.87126,0.96262,0.9615,0.71648,0.95387,0.88565,1.14448,0.0007327,0.0007327,0.0007327
29,1035.83,1.02355,0.94813,1.15494,0.90039,0.96672,0.96427,0.73708,0.87276,0.85288,1.08572,0.0007228,0.0007228,0.0007228
30,1072.07,0.9805,0.90803,1.13832,0.92284,0.94435,0.97069,0.74979,0.84772,0.80846,1.07102,0.0007129,0.0007129,0.0007129
31,1107.77,1.00417,0.90904,1.1624,0.89081,0.97447,0.97114,0.73575,0.91363,0.81258,1.10984,0.000703,0.000703,0.000703
32,1143.59,0.98578,0.86555,1.14497,0.92886,0.96392,0.97409,0.73972,0.90977,0.78587,1.11158,0.0006931,0.0006931,0.0006931
33,1180.1,0.99327,0.88188,1.13807,0.90726,0.96391,0.97748,0.76868,0.84697,0.74843,1.07254,0.0006832,0.0006832,0.0006832
34,1216.02,0.95846,0.85662,1.11594,0.9353,0.96001,0.97835,0.76705,0.84681,0.75135,1.08988,0.0006733,0.0006733,0.0006733
35,1251.73,0.92925,0.84387,1.1132,0.94331,0.95245,0.97997,0.75941,0.83474,0.73082,1.05625,0.0006634,0.0006634,0.0006634
36,1288.51,0.94142,0.81469,1.10079,0.92087,0.97203,0.98085,0.76452,0.81249,0.71808,1.052,0.0006535,0.0006535,0.0006535
37,1324.03,0.9529,0.84758,1.13317,0.90023,0.97998,0.981,0.76598,0.83386,0.73485,1.05138,0.0006436,0.0006436,0.0006436
38,1359.69,0.93852,0.83644,1.11945,0.89264,0.96787,0.97659,0.7616,0.84072,0.75982,1.06753,0.0006337,0.0006337,0.0006337
39,1395.17,0.92795,0.83737,1.10956,0.931,0.97427,0.98243,0.75497,0.84932,0.69704,1.05975,0.0006238,0.0006238,0.0006238
40,1430.7,0.90029,0.77232,1.08869,0.93693,0.96979,0.983,0.78424,0.7688,0.65043,1.04238,0.0006139,0.0006139,0.0006139
41,1466.17,0.912,0.79944,1.10204,0.95957,0.95223,0.98661,0.76932,0.83359,0.71184,1.07267,0.000604,0.000604,0.000604
